S.No,Restaurant Name,Cuisine(s),Rating,Number of Reviews,Cost for Two,Locality,Delivery Time,Type
1,Grill Craft Co.,"North Indian, Chinese, and Continental",4.2,207,1200,College Road,Not Available,Dine-In Restaurant
2,Bakes N Brews - Courtyard by Marriott,"Bakery, Cafe, Desserts",4.3,590,800,Mumbai Naka,Not Available,Dine-In Restaurant
3,Tomato's,"North Indian, Mexican, Chinese, Asian, Mughlai, Healthy Food",4.3,1317,1800,College Road,Not Available,Dine-In Restaurant
4,Larive Kitchen And Cocktail,"Beverages, North Indian, Pizza, Chinese, Sushi, Fast Food, Desserts",4.4,524,2100,College Road,Not Available,Dine-In Restaurant
5,Prasadam Bhojnalay,"North Indian, Gujarati",3.9,2293,250,Patil Nagar,Not Available,Dine-In Restaurant
6,Vintage Asia - Courtyard By Marriott,"Chinese, Thai, Indonesian, Malaysian, Asian, Oriental",4.6,274,2000,Mumbai Naka,Not Available,Dine-In Restaurant
7,Tamara,"North Indian, Oriental, Chinese, Continental, Maharashtrian, Italian, Seafood",4.3,519,2100,College Road,Not Available,Dine-In Restaurant
8,HOG - Courtyard by Marriott,"North Indian, Modern Indian, Continental, Italian, Asian, Maharashtrian",4.3,651,3200,Mumbai Naka,Not Available,Dine-In Restaurant
9,Strato - Courtyard By Marriott,"North Indian, Bar Food, Kebab, Continental, Rolls, Pizza",4.5,331,2000,Mumbai Naka,Not Available,Dine-In Restaurant
10,Kiki Global Tapas Bar,Not Available,3.9,44,1600,Veer Savarkar Nagar,Not Available,Dine-In Restaurant
11,The Mykonos,"Cafe, Cafe, Continental, Italian, Oriental, Chinese, Beverages",4.4,57,1200,College Road,Not Available,Dine-In Restaurant
12,My Oh My,North Indian,4.4,185,1500,Veer Savarkar Nagar,Not Available,Dine-In Restaurant
13,Arbor Kitchen - Four Points By Sheraton,"North Indian, Italian, Continental",4.5,238,1600,Indira Nagar,Not Available,Dine-In Restaurant
14,Grill Master,"Fast Food, Sandwich, Pizza, Beverages, Shake",4.0,80,400,College Road,Not Available,Dine-In Restaurant
15,Hunger Wolf,"Pizza, Fast Food, Shawarma, North Indian, Chinese, Momos",3.8,571,400,College Road,Not Available,Dine-In Restaurant
16,Skyline Rooftop Restaurant,"North Indian, Biryani, Seafood",3.6,16,1000,College Road,Not Available,Dine-In Restaurant
17,Panorama,"North Indian, Chinese, Mughlai, Asian, Barbecue, Seafood",4.4,588,1100,Satpur,Not Available,Dine-In Restaurant
18,Origin Barbeque,"North Indian, Mughlai, Continental, Chinese, Biryani, Barbecue, Desserts",4.1,147,1000,Anand Wali Goan,Not Available,Dine-In Restaurant
19,The Foundry - Industrial Bar & Sport,"Finger Food, Fast Food, Pizza, Italian, Desserts, Beverages",4.4,551,2300,Satpur,Not Available,Dine-In Restaurant
20,Tales & Spirits,"Italian, Continental, Mediterranean, Modern Indian, Chinese, Desserts, Beverages",4.2,210,1200,College Road,Not Available,Dine-In Restaurant
21,Café Nirvana,"Cafe, Cafe, Fast Food, Pasta, Pizza, Burger, Sandwich, Desserts",4.3,7,500,Veer Savarkar Nagar,Not Available,Dine-In Restaurant
22,Barbeque Nation,"North Indian, Barbecue, Kebab, Biryani",4.5,1369,2000,Parijat Nagar,Not Available,Dine-In Restaurant
23,Spirits N Spices by Redchilly's,"Continental, Pizza, Oriental, Seafood, Chinese, Kebab, Pasta",4.3,127,1200,Anand Wali Goan,Not Available,Dine-In Restaurant
24,Horizon By Sayaji,"North Indian, Mughlai, Biryani, Chinese, Pizza, Continental, Desserts, Beverages",3.6,52,1500,Indira Nagar,Not Available,Dine-In Restaurant
25,Four Lost Cats,"Sandwich, Wraps, Fast Food, Street Food, Italian, Desserts, Shake, Beverages",3.7,17,800,College Road,Not Available,Dine-In Restaurant
26,Anna Idli,"South Indian, Sandwich, Desserts, Shake, Beverages",4.3,89,500,College Road,Not Available,Dine-In Restaurant
27,Cream Stone Ice Cream,Ice Cream,3.6,5,300,College Road,Not Available,Dine-In Restaurant
28,The Liquor Embassy,"Bar Food, North Indian, Pizza, Pasta, Seafood, Desserts",4.5,96,1300,College Road,Not Available,Dine-In Restaurant
29,Theobroma,"Bakery, Desserts, Beverages",4.2,216,500,Parijat Nagar,Not Available,Dine-In Restaurant
30,Pizza Hut,"Pizza, Fast Food, Desserts, Beverages",3.8,174,600,Dwarka,Not Available,Dine-In Restaurant
